# Converted from egSymb.rda
# Total elements extracted: 81569

Index	Value	Type
0	RDX2	header
1	egSymb	data
2	10	data
3	100	data
4	1000	data
5	10000	data
6	100008586	data
7	100008587	data
8	100008588	data
9	100008589	data
10	100009601	data
11	100009602	data
12	100009603	data
13	100009604	data
14	100009605	data
15	100009606	data
16	100009607	data
17	100009612	data
18	100009613	data
19	100009665	data
20	100009667	data
21	100009668	data
22	100009669	data
23	100009670	data
24	100009671	data
25	100009672	data
26	100009673	data
27	100009674	data
28	100009675	data
29	100009676	data
30	10001	data
31	10002	data
32	10003	data
33	100033388	data
34	100033389	data
35	100033391	data
36	100033392	data
37	100033393	data
38	100033394	data
39	100033395	data
40	100033396	data
41	100033397	data
42	100033398	data
43	100033399	data
44	100033400	data
45	100033401	data
46	100033402	data
47	100033403	data
48	100033404	data
49	100033406	data
50	100033407	data
51	100033408	data
52	100033409	data
53	100033410	data
54	100033411	data
55	100033412	data
56	100033413	data
57	100033414	data
58	100033415	data
59	100033416	data
60	100033417	data
61	100033418	data
62	100033419	data
63	100033420	data
64	100033421	data
65	100033422	data
66	100033423	data
67	100033424	data
68	100033425	data
69	100033426	data
70	100033427	data
71	100033428	data
72	100033429	data
73	100033430	data
74	100033431	data
75	100033432	data
76	100033433	data
77	100033434	data
78	100033435	data
79	100033436	data
80	100033437	data
81	100033438	data
82	100033439	data
83	100033440	data
84	100033441	data
85	100033442	data
86	100033443	data
87	100033444	data
88	100033445	data
89	100033446	data
90	100033447	data
91	100033448	data
92	100033449	data
93	100033450	data
94	100033451	data
95	100033453	data
96	100033454	data
97	100033455	data
98	100033456	data
99	100033458	data
100	100033460	data
101	100033603	data
102	100033799	data
103	100033800	data
104	100033801	data
105	100033802	data
106	100033803	data
107	100033804	data
108	100033805	data
109	100033806	data
110	100033807	data
111	100033808	data
112	100033809	data
113	100033810	data
114	100033811	data
115	100033812	data
116	100033813	data
117	100033814	data
118	100033815	data
119	100033816	data
120	100033817	data
121	100033818	data
122	100033819	data
123	100033820	data
124	100033821	data
125	100033822	data
126	100034248	data
127	100034700	data
128	100034701	data
129	100034703	data
130	100034704	data
131	100034705	data
132	100034736	data
133	100034743	data
134	100036519	data
135	100036563	data
136	100036564	data
137	100036565	data
138	100036566	data
139	100036567	data
140	100036574	data
141	100036575	data
142	100037264	data
143	100037265	data
144	100037266	data
145	100037267	data
146	100037280	data
147	100037417	data
148	100038246	data
149	100038247	data
150	100038248	data
151	100038342	data
152	100038747	data
153	10004	data
154	100048903	data
155	100048904	data
156	100048905	data
157	100048906	data
158	100048907	data
159	100048908	data
160	100048909	data
161	100048912	data
162	100048922	data
163	100048923	data
164	100048924	data
165	100049076	data
166	100049159	data
167	100049160	data
168	100049541	data
169	100049542	data
170	100049543	data
171	100049544	data
172	100049579	data
173	100049587	data
174	100049613	data
175	100049614	data
176	100049615	data
177	100049707	data
178	100049708	data
179	100049716	data
180	100049717	data
181	10005	data
182	10006	data
183	10007	data
184	100073347	data
185	100073349	data
186	10008	data
187	10009	data
188	100093624	data
189	100093625	data
190	100093626	data
191	100093630	data
192	100093631	data
193	100093632	data
194	100093698	data
195	100093716	data
196	100093717	data
197	1001	data
198	10010	data
199	100101111	data
200	100101112	data
201	100101115	data
202	100101116	data
203	100101117	data
204	100101118	data
205	100101119	data
206	100101120	data
207	100101121	data
208	100101122	data
209	100101126	data
210	100101127	data
211	100101148	data
212	100101244	data
213	100101246	data
214	100101247	data
215	100101266	data
216	100101267	data
217	100101268	data
218	100101405	data
219	100101407	data
220	100101420	data
221	100101423	data
222	100101424	data
223	100101425	data
224	100101426	data
225	100101440	data
226	100101441	data
227	100101466	data
228	100101467	data
229	100101478	data
230	100101483	data
231	100101490	data
232	100101554	data
233	100101629	data
234	100101917	data
235	100101932	data
236	100101933	data
237	100101935	data
238	100101938	data
239	10011	data
240	100113373	data
241	100113374	data
242	100113375	data
243	100113376	data
