# Converted from kegg_gs.rda
# Total elements extracted: 11237

Index	Value	Type
0	RDX2	header
1	kegg.gs	data
2	10327	data
3	124	data
4	125	data
5	126	data
6	127	data
7	128	data
8	130	data
9	130589	data
10	131	data
11	160287	data
12	1737	data
13	1738	data
14	2023	data
15	2026	data
16	2027	data
17	217	data
18	218	data
19	219	data
20	220	data
21	2203	data
22	221	data
23	222	data
24	223	data
25	224	data
26	226	data
27	229	data
28	230	data
29	2538	data
30	2597	data
31	26330	data
32	2645	data
33	2821	data
34	3098	data
35	3099	data
36	3101	data
37	3939	data
38	3945	data
39	3948	data
40	441531	data
41	501	data
42	5105	data
43	5106	data
44	5160	data
45	5161	data
46	5162	data
47	5211	data
48	5213	data
49	5214	data
50	5223	data
51	5224	data
52	5230	data
53	5232	data
54	5236	data
55	5313	data
56	5315	data
57	55276	data
58	55902	data
59	57818	data
60	669	data
61	7167	data
62	80201	data
63	83440	data
64	84532	data
65	8789	data
66	92483	data
67	1431	data
68	1737	data
69	1738	data
70	1743	data
71	2271	data
72	3417	data
73	3418	data
74	3419	data
75	3420	data
76	3421	data
77	4190	data
78	4191	data
79	47	data
80	48	data
81	4967	data
82	50	data
83	5091	data
84	5105	data
85	5106	data
86	5160	data
87	5161	data
88	5162	data
89	55753	data
90	6389	data
91	6390	data
92	6391	data
93	6392	data
94	8801	data
95	8802	data
96	8803	data
97	2203	data
98	221823	data
99	226	data
100	229	data
101	22934	data
102	230	data
103	2539	data
104	25796	data
105	2821	data
106	51071	data
107	5211	data
108	5213	data
109	5214	data
110	5226	data
111	5236	data
112	55276	data
113	5631	data
114	5634	data
115	6120	data
116	64080	data
117	6888	data
118	7086	data
119	729020	data
120	8277	data
121	84076	data
122	8789	data
123	9563	data
124	10720	data
125	10941	data
126	217	data
127	219	data
128	224	data
129	231	data
130	27294	data
131	2990	data
132	51084	data
133	51181	data
134	54490	data
135	54575	data
136	54576	data
137	54577	data
138	54578	data
139	54579	data
140	54600	data
141	54657	data
142	54658	data
143	54659	data
144	574537	data
145	6120	data
146	729020	data
147	7358	data
148	7360	data
149	7363	data
150	7364	data
151	7365	data
152	7366	data
153	7367	data
154	79799	data
155	9942	data
156	197258	data
157	2203	data
158	226	data
159	229	data
160	230	data
161	231	data
162	2762	data
163	29085	data
164	29925	data
165	29926	data
166	3098	data
167	3099	data
168	3101	data
169	3795	data
170	4351	data
171	5207	data
172	5208	data
173	5209	data
174	5210	data
175	5211	data
176	5213	data
177	5214	data
178	5372	data
179	5373	data
180	57016	data
181	57103	data
182	6652	data
183	7167	data
184	7264	data
185	80201	data
186	8776	data
187	8789	data
188	8790	data
189	8898	data
190	9107	data
191	9108	data
192	231	data
193	2538	data
194	2548	data
195	2582	data
196	2584	data
197	2585	data
198	2592	data
199	2595	data
200	2645	data
201	2683	data
202	2717	data
203	2720	data
204	3098	data
205	3099	data
206	3101	data
207	3906	data
208	3938	data
209	5211	data
210	5213	data
211	5214	data
212	5236	data
213	55276	data
214	57818	data
215	7360	data
216	80201	data
217	8704	data
218	8972	data
219	10720	data
220	10941	data
221	217	data
222	219	data
223	223	data
224	224	data
225	501	data
226	54490	data
227	54575	data
228	54576	data
229	54577	data
230	54578	data
231	54579	data
232	54600	data
233	54657	data
234	54658	data
235	54659	data
236	55586	data
237	574537	data
238	7358	data
239	7363	data
240	7364	data
241	7365	data
242	7366	data
243	7367	data
244	79799	data
245	2194	data
246	27349	data
247	31	data
248	32	data
249	54995	data
250	55301	data
251	10449	data
252	10455	data
253	124	data
254	125	data
255	126	data
256	126129	data
257	127	data
258	128	data
259	130	data
260	131	data
261	1374	data
262	1375	data
263	1376	data
264	1579	data
265	1632	data
266	1892	data
267	1962	data
268	217	data
269	2180	data
270	2181	data
271	2182	data
272	219	data
273	223	data
274	224	data
275	23305	data
276	2639	data
277	284541	data
278	30	data
279	3030	data
280	3032	data
281	3033	data
282	33	data
283	34	data
284	35	data
285	36	data
286	37	data
287	38	data
288	39	data
289	501	data
290	51	data
291	51703	data
292	81616	data
293	8310	data
294	3155	data
295	3157	data
296	3158	data
297	38	data
298	39	data
299	5019	data
300	56898	data
301	622	data
302	64064	data
303	1056	data
304	10682	data
305	10826	data
306	120227	data
307	1594	data
308	1595	data
309	1717	data
310	1718	data
311	2222	data
312	3988	data
313	4047	data
314	50814	data
315	51478	data
316	6307	data
317	6309	data
318	6646	data
319	6713	data
320	7108	data
321	8435	data
322	10858	data
323	10998	data
324	1109	data
325	1581	data
326	1582	data
327	1593	data
328	23600	data
329	3295	data
330	51302	data
331	570	data
332	6342	data
333	6718	data
334	80270	data
335	8309	data
336	9023	data
337	9420	data
338	10229	data
339	27235	data
340	3242	data
341	51004	data
342	51805	data
343	6898	data
344	84274	data
345	100510686	data
346	10720	data
347	10941	data
348	1109	data
349	1312	data
350	1543	data
351	1545	data
352	1551	data
353	1576	data
354	1577	data
355	1581	data
356	1583	data
357	1584	data
358	1585	data
359	1586	data
360	1588	data
361	1589	data
362	1645	data
363	1646	data
364	3283	data
365	3284	data
366	3290	data
367	3291	data
368	3292	data
369	3293	data
370	3294	data
371	412	data
372	51144	data
373	51478	data
374	54490	data
375	54575	data
376	54576	data
377	54577	data
378	54578	data
379	54579	data
380	54600	data
381	54657	data
382	54658	data
383	54659	data
384	574537	data
385	64816	data
386	6715	data
387	6716	data
388	6718	data
389	6783	data
390	6820	data
391	7363	data
392	7364	data
393	7365	data
394	7366	data
395	7367	data
396	7923	data
397	79644	data
398	79799	data
399	8630	data
400	8644	data
401	9420	data
402	10063	data
403	10312	data
404	10476	data
405	10632	data
406	10975	data
407	125965	data
408	126328	data
409	127124	data
410	1327	data
411	1329	data
412	1337	data
413	1339	data
414	1340	data
415	1345	data
416	1346	data
417	1347	data
418	1349	data
419	1350	data
420	1351	data
421	1352	data
422	1353	data
423	1355	data
424	1537	data
425	155066	data
426	170712	data
427	23545	data
428	245972	data
429	245973	data
430	27068	data
431	27089	data
432	29796	data
433	341947	data
434	374291	data
435	440567	data
436	4508	data
437	4509	data
438	4512	data
439	4513	data
440	4514	data
441	4519	data
442	4535	data
443	4536	data
444	4537	data
445	4538	data
446	4539	data
447	4540	data
448	4541	data
449	4694	data
450	4695	data
451	4696	data
452	4697	data
453	4698	data
454	4700	data
455	4701	data
456	4702	data
457	4704	data
458	4705	data
459	4706	data
460	4707	data
461	4708	data
462	4709	data
463	4710	data
464	4711	data
465	4712	data
466	4713	data
467	4714	data
468	4715	data
469	4716	data
470	4717	data
471	4718	data
472	4719	data
473	4720	data
474	4722	data
475	4723	data
476	4724	data
477	4725	data
478	4726	data
479	4728	data
480	4729	data
481	4731	data
482	479	data
483	495	data
484	496	data
485	498	data
486	506	data
487	50617	data
488	509	data
489	51079	data
490	513	data
491	51382	data
492	514	data
493	515	data
494	516	data
495	51606	data
496	517	data
497	518	data
498	521	data
499	522	data
500	523	data
501	525	data
502	526	data
503	527	data
504	528	data
505	529	data
506	533	data
507	534	data
508	535	data
509	537	data
510	539	data
511	54539	data
512	5464	data
513	55967	data
514	56901	data
515	6389	data
516	6390	data
517	6391	data
518	6392	data
519	64077	data
520	7381	data
521	7384	data
522	7385	data
523	7386	data
524	7388	data
525	84701	data
526	8992	data
527	90423	data
528	9114	data
529	9167	data
530	9296	data
531	9377	data
532	9550	data
533	9551	data
534	100	data
535	10201	data
536	10606	data
537	10621	data
538	10622	data
539	10623	data
540	107	data
541	10714	data
542	108	data
543	10846	data
544	109	data
545	111	data
546	11128	data
547	11164	data
548	112	data
549	113	data
550	114	data
551	115	data
552	122481	data
553	122622	data
