hsa04930 Type II diabetes mellitus	122809 23533 2475 2645 3098 3099 3101 3551 3630 3643 3651 3667 3767 389692 5290 5291 5293 5294 5295 5296 5313 5315 5580 5581 5590 5594 5595 5599 5601 5602 6514 6517 6833 7124 773 774 775 776 777 80201 8471 8503 8651 8660 8835 8913 9021 9370
hsa04940 Type I diabetes mellitus	100133583 1363 2571 2572 3002 3105 3106 3107 3108 3109 3111 3112 3113 3115 3117 3118 3119 3122 3123 3125 3126 3127 3133 3134 3135 3329 3382 3458 355 3552 3553 3558 356 3592 3593 3630 4049 5551 5798 5799 652614 7124 940 941 942
hsa04950 Maturity onset diabetes of the young	168620 2494 2645 3087 3110 3170 3171 3172 3174 3175 3280 3375 3630 3651 389692 4760 4821 4825 50674 5078 5080 5313 6514 6927 6928
hsa05010 Alzheimer's disease	102 1020 10476 10975 11261 120329 125965 126328 1327 1329 1337 1339 1340 1345 1346 1347 1349 1350 1351 1537 163688 170712 2081 22926 23236 23385 23621 25825 2597 27089 2776 2902 2903 2904 2905 2906 2932 29796 3028 317 322 3416 341947 348 351 355 3553 3708 3709 3710 374291 4023 4035 4137 4311 440567 4508 4509 4512 4513 4514 4519 4694 4695 4696 4697 4698 4700 4701 4702 4704 4705 4706 4707 4708 4709 4710 4711 4712 4713 4714 4715 4716 4717 4718 4719 4720 4722 4723 4724 4725 4726 4728 4729 4731 4842 487 488 489 498 506 509 51079 51107 513 514 515 516 517 518 51806 522 5330 5331 5332 539 54205 54539 5530 5532 5533 5534 5535 55851 5594 5595 55967 5663 5664 56901 572 6263 637 6389 6390 6391 6392 63928 6622 6868 7124 7132 7381 7384 7385 7386 7388 775 776 778 779 801 805 808 810 823 824 836 840 841 842 84701 8772 8851 8883 9167 9377 9451
hsa05012 Parkinson's disease	10476 10975 11315 118424 120892 125965 126328 1327 1329 1337 1339 1340 1345 1346 1347 1349 1350 1351 1537 170712 27089 27429 2861 291 292 293 29796 317 341947 374291 440567 4508 4509 4512 4513 4514 4519 4535 4536 4537 4538 4539 4540 4541 4694 4695 4696 4697 4698 4700 4701 4702 4704 4705 4706 4707 4708 4709 4710 4711 4712 4713 4714 4715 4716 4717 4718 4719 4720 4722 4723 4724 4725 4726 4728 4729 4731 498 506 5071 509 51079 513 514 51465 515 516 517 518 522 539 5413 54205 54539 5481 55967 56901 6389 6390 6391 6392 65018 6531 6570 6571 6622 7054 7314 7317 7318 7326 7327 7332 7345 7381 7384 7385 7386 7388 7416 7417 7419 83447 836 842 84701 9167 9246 9377 9627
hsa05014 Amyotrophic lateral sclerosis (ALS)	10452 11261 120329 1432 1616 2876 2890 2891 2902 2903 2904 2905 2906 317 4217 4741 4744 4747 4842 54205 5530 5532 5533 5534 5535 5600 5603 5606 5608 5630 572 57679 581 5868 5879 596 5961 598 6300 637 63928 6506 6647 7124 7132 7133 7157 79139 834 836 84134 842 847 9973
hsa05016 Huntington's disease	10126 10476 10488 10540 10891 10975 1173 1175 1211 1212 1213 125965 126328 1327 1329 1337 1339 1340 1345 1346 1347 1349 1350 1351 1385 1387 146754 148327 1537 160 161 163 1639 170712 1742 2033 23186 23236 246721 25942 25981 27019 27089 27113 2776 2876 2902 2904 291 2911 2915 292 293 29796 3064 3065 3066 3092 317 341947 3708 374291 387332 440567 4508 4509 4512 4513 4514 4519 4694 4695 4696 4697 4698 4700 4701 4702 4704 4705 4706 4707 4708 4709 4710 4711 4712 4713 4714 4715 4716 4717 4718 4719 4720 4722 4723 4724 4725 4726 4728 4729 4731 4899 498 506 509 51079 51164 513 514 515 516 517 518 522 5330 5331 5332 539 54205 5430 5431 5432 5433 5434 5435 5436 5437 5438 5439 5440 5441 54539 5468 5481 548644 55081 55567 55967 56901 581 5978 627 6389 6390 6391 6392 64446 64764 6647 6648 6667 6874 6875 6908 7019 7052 7157 7350 7381 7384 7385 7386 7388 7416 7417 7419 7802 8218 83447 83544 836 841 842 84699 84701 9001 90993 9167 9377 9519 9586
hsa05020 Prion diseases	10963 120329 1958 2002 2534 3303 3309 3552 3553 3569 3915 4684 4685 4851 5566 5567 5568 5594 5595 5604 5605 5613 5621 581 6352 6647 712 713 714 727 729 730 731 732 733 735
hsa05100 Bacterial invasion of epithelial cells	10059 10092 10093 10094 10095 10109 10163 10459 10552 1211 1212 1213 1398 1399 1495 1496 1499 1731 1759 1785 1793 2017 2335 23533 23607 23624 2549 25759 26052 26084 29119 3059 3611 3678 3688 387 391 399694 4233 5290 5291 5293 5294 5295 5296 53358 5747 5829 5879 60 6464 653888 6714 71 7414 7454 79658 81873 8218 8503 857 858 859 867 868 8936 8976 9564 9844 998 999
hsa05110 Vibrio cholerae infection	10312 1080 109 10945 10952 11014 11015 115 127124 155066 23480 23545 245972 245973 2778 29927 30001 375 3784 4583 50617 51382 51606 523 525 526 527 528 529 533 5335 5336 534 535 537 55176 5566 5567 5568 5578 5579 5582 5613 60 6558 7082 71 8992 90423 9114 9296 9414 9550 9601
hsa05120 Epithelial cell signaling in Helicobacter pylori infection	102 10312 10392 1147 127124 1432 1445 150084 155066 1839 1956 23545 245972 245973 28964 2919 3551 3576 3577 3579 3725 4067 4233 4790 4792 5058 50617 50848 51382 51606 523 525 526 527 528 529 533 5335 5336 534 535 537 5599 5600 5601 5602 5603 5781 5803 58494 5879 5970 6300 6352 6416 6714 6868 7082 836 83700 8517 8992 9020 90423 9114 9296 9550 998
hsa05130 Pathogenic Escherichia coli infection	100506658 10092 10093 10094 10095 10109 10376 10381 10382 10383 10552 10971 112714 113457 1499 2017 203068 23643 25 2534 3059 347688 347733 3688 387 3875 4690 4691 4950 51807 5578 56604 60 6093 653888 7099 71 7100 7277 7278 7280 7430 7454 7534 7846 79861 81027 81873 8440 84617 84790 8976 9076 9181 929 9475 998 999
