ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T01001	9606	hsa	Homo sapiens	human	1	353	353	NP_000476	P07741
T01005	9598	ptr	Pan troglodytes	chimpanzee	1	101059613	101059613	XP_003952370	H2RE07
T02283	9597	pps	Pan paniscus	bonobo	1	100985560	100985560	XP_003817035	A0A2R9CEE2
T02442	9593	ggo	Gorilla gorilla gorilla	western lowland gorilla	1	109023675	109023675	XP_018867613	G3QVP9
T01416	9601	pon	Pongo abelii	Sumatran orangutan	1	100446315	100446315	XP_002815139	A0A2J8XPU0
T03265	61853	nle	Nomascus leucogenys	northern white-cheeked gibbon	1	100584339	100584339	XP_003259252	G1RGC0
T01028	9544	mcc	Macaca mulatta	rhesus monkey	1	694368	694368	NP_001247879	A0A1D5QNV6
T02918	9541	mcf	Macaca fascicularis	crab-eating macaque	1	102120445	102120445	XP_045233303	A0A2K5U243
T04361	60711	csab	Chlorocebus sabaeus	green monkey	1	103237238	103237238	XP_007999446	A0A0D9R8W5
T07242	9531	caty	Cercocebus atys	sooty mangabey	1	105578590	105578590	XP_011899911	A0A2K5LR05
T07474	9555	panu	Papio anubis	olive baboon	1	101024846	101024846	XP_003908129	A0A096N867
T08041	9565	tge	Theropithecus gelada	gelada	1	112625130	112625130	XP_025242128	NA
T03989	61622	rro	Rhinopithecus roxellana	golden snub-nosed monkey	1	104658102	104658102	XP_010356336	A0A2K6QJ78
T04641	61621	rbb	Rhinopithecus bieti	black snub-nosed monkey	1	108526644	108526644	XP_017722976	A0A2K6MXB2
T07225	54180	tfn	Trachypithecus francoisi	Francois's langur	1	117092925	117092925	XP_033083113	NA
T07491	591936	pteh	Piliocolobus tephrosceles	Ugandan red Colobus	1	111536633	111536633	XP_023058787	NA
T03264	9483	cjc	Callithrix jacchus	white-tufted-ear marmoset	1	100408933	100408933	XP_017833310	U3BBY6
T04350	27679	sbq	Saimiri boliviensis boliviensis	Bolivian squirrel monkey	1	101048728	101048728	XP_010329067	A0A2K6TKV9
T07836	1868482	csyr	Carlito syrichta	Philippine tarsier	1	103259540	103259540	XP_008055389	A0A1U7TC37
T07238	30608	mmur	Microcebus murinus	gray mouse lemur	1	105868789	105868789	XP_012615347	A0A8B7G191
T08326	9447	lcat	Lemur catta	Ring-tailed lemur	1	123633230	123633230	XP_045400256	NA
T07855	30611	oga	Otolemur garnettii	small-eared galago	1	100963741	100963741	XP_012662160	H0WR69
T01002	10090	mmu	Mus musculus	house mouse	1	224794	224794	NP_950181	Q8BTJ4
T05910	10089	mcal	Mus caroli	Ryukyu mouse	1	110311373	110311373	XP_021040289	A0A6P5R5W7
T05929	10093	mpah	Mus pahari	shrew mouse	1	110331475	110331475	XP_021067774	NA
T01003	10116	rno	Rattus norvegicus	rat	1	85496	85496	NP_445987	Q924C3
T07224	35658	mcoc	Mastomys coucha	southern multimammate mouse	1	116081000	116081000	XP_031213571	NA
T05884	10047	mun	Meriones unguiculatus	Mongolian gerbil	1	110555924	110555924	XP_021505093	NA
T02813	10029	cge	Cricetulus griseus	Chinese hamster	1	100765914	100765914	XP_027280119	G3HBD4
T08306	10036	maua	Mesocricetus auratus	golden hamster	1	101839337	101839337	XP_040612653	A0A1U7QA35
T07241	10041	pleu	Peromyscus leucopus	white-footed mouse	1	114696204	114696204	XP_028729615	NA
T08307	111838	morg	Microtus oregoni	creeping vole	1	121442982	121442982	XP_041500586	NA
T08327	1047088	aamp	Arvicola amphibius	Eurasian water vole	1	119820783	119820783	XP_038195318	NA
T03372	1026970	ngi	Nannospalax galili	Upper Galilee mountains blind mole rat	1	103740086	103740086	XP_008838861	NA
T02812	10181	hgl	Heterocephalus glaber	naked mole-rat	1	101701391	101701391	XP_004834052	G5BZV1
T07777	10141	cpoc	Cavia porcellus	domestic guinea pig	1	100302668	100302668	XP_005003828	A0A286XNF0
T04791	51338	ccan	Castor canadensis	American beaver	1	109690593	109690593	XP_020025629	A0A250YKQ6
T07834	10020	dord	Dipodomys ordii	Ord's kangaroo rat	1	105983604	105983604	XP_012869004	A0A1S3EYI7
T07891	105255	dsp	Dipodomys spectabilis	banner-tailed kangaroo rat	1	122107372	122107372	XP_042534980	NA
T08117	30640	ncar	Neosciurus carolinensis	gray squirrel	1	124961749	124961749	XP_047376659	NA
T03373	9986	ocu	Oryctolagus cuniculus	rabbit	1	100345823	100345823	XP_002708776	G1SRW2
T07609	9978	opi	Ochotona princeps	American pika	1	101529036	101529036	XP_004584364	NA
T02978	246437	tup	Tupaia chinensis	Chinese tree shrew	1	102473823	102473823	XP_014444830	NA
T01007	9612	cfa	Canis lupus familiaris	dog	1	610721	610721	XP_038313335	Q4ZHR9
T05911	9627	vvp	Vulpes vulpes	red fox	1	112912730	112912730	XP_025845147	A0A3Q7RHE1
T07435	494514	vlg	Vulpes lagopus	Arctic fox	1	121499597	121499597	XP_041626345	NA
T01329	9646	aml	Ailuropoda melanoleuca	giant panda	1	100478405	100478405	XP_034525971	G1MET3
T03271	29073	umr	Ursus maritimus	polar bear	1	103666427	103666427	XP_008692670	A0A384CE39
T05909	9644	uah	Ursus arctos horribilis	North American brown bear	1	113268055	113268055	XP_026372196	A0A3Q7WGM5
T07931	9643	uar	Ursus americanus	American black bear	1	123792107	123792107	XP_045653252	NA
T05871	34882	elk	Enhydra lutris kenyoni	northern sea otter	1	111146225	111146225	XP_022357387	A0A2Y9J8U8
T08100	9657	llv	Lutra lutra	Eurasian river otter	1	125093752	125093752	XP_047575339	NA
T07239	9668	mpuf	Mustela putorius furo	domestic ferret	1	101692380	101692380	XP_004740263	M3YTA2
T05148	9707	oro	Odobenus rosmarus divergens	Pacific walrus	1	105757063	105757063	XP_004395264	A0A2U3VK42
T07240	34886	eju	Eumetopias jubatus	Steller sea lion	1	114217020	114217020	XP_027969561	NA
T07874	9704	zca	Zalophus californianus	California sea lion	1	113937113	113937113	XP_027476618	A0A6J2FE59
T07472	9715	mlx	Mirounga leonina	Southern elephant seal	1	118026715	118026715	XP_034885599	NA
T02385	9685	fca	Felis catus	domestic cat	1	101096963	101096963	XP_004001169	M3WDE5
T07555	1608482	pyu	Puma yagouaroundi	jaguarundi	1	121030756	121030756	XP_040331415	NA
T07574	37029	pbg	Prionailurus bengalensis	leopard cat	1	122475116	122475116	XP_043422742	NA
T02988	9694	ptg	Panthera tigris altaica	Amur tiger	1	102957567	102957567	XP_015391742	NA
T06062	9691	ppad	Panthera pardus	leopard	1	109245538	109245538	XP_019268485	A0A6P4T454
T04657	32536	aju	Acinonyx jubatus	cheetah	1	106983671	106983671	XP_026912610	A0A6J1Z8G2
T07257	95912	hhv	Hyaena hyaena	striped hyena	1	120228713	120228713	XP_039083196	NA
T01008	9913	bta	Bos taurus	cow	1	512320	512320	NP_001069028	Q1JPK7
T02919	72004	bom	Bos mutus	wild yak	1	102285947	102285947	XP_014336632	L8HVT5
T04792	9915	biu	Bos indicus	zebu cattle	1	109560492	109560492	XP_019818354	A0A6P5BYH1
T05912	89462	bbub	Bubalus bubalis	water buffalo	1	102395326	102395326	XP_044789572	NA
T02910	9925	chx	Capra hircus	goat	1	102177346	102177346	XP_005686406	A0A452G177
T03117	9940	oas	Ovis aries	sheep	1	101112667	101112667	XP_027833621	A0A6P7ER41
T07255	59534	oda	Oryx dammah	scimitar-horned oryx	1	120864327	120864327	XP_040097254	NA
T07554	1574408	ccad	Cervus canadensis	wapiti	1	122440739	122440739	XP_043323285	NA
T01009	9823	ssc	Sus scrofa	pig	1	100037271	100037271	XP_020943592	A0A4X1STE5
T02979	419612	cfr	Camelus ferus	Wild Bactrian camel	1	102521783	102521783	XP_032340448	A0A8B8TF93
T07534	9837	cbai	Camelus bactrianus	Bactrian camel	1	105064358	105064358	XP_010947570	NA
T04642	9838	cdk	Camelus dromedarius	Arabian camel	1	105096675	105096675	XP_031321181	NA
T08098	30538	vpc	Vicugna pacos	alpaca	1	102527494	102527494	XP_006209488	A0A6J3B2N1
T03086	9767	bacu	Balaenoptera acutorostrata scammoni	minke whale	1	103014516	103014516	XP_007167470	A0A383YX71
T03090	118797	lve	Lipotes vexillifer	Yangtze River dolphin	1	103077831	103077831	XP_007460798	A0A340XHC7
T05247	9733	oor	Orcinus orca	killer whale	1	101286059	101286059	XP_004280820	NA
T05885	9749	dle	Delphinapterus leucas	beluga whale	1	111174648	111174648	XP_022429339	A0A2Y9N8Q5
T06011	9755	pcad	Physeter catodon	sperm whale	1	102985101	102985101	XP_023983980	A0A2Y9T5A5
T07759	42100	psiu	Phocoena sinus	vaquita	1	116763757	116763757	XP_032507757	NA
T01058	9796	ecb	Equus caballus	horse	1	100052450	100052450	XP_001915574	F7D7Z9
T04644	9798	epz	Equus przewalskii	Przewalski's horse	1	103564222	103564222	XP_008538043	NA
T04645	9793	eai	Equus asinus	ass	1	106836163	106836163	XP_044603231	NA
T02920	109478	myb	Myotis brandtii	Brandt's bat	1	102255287	102255287	XP_005867403	NA
T02992	225400	myd	Myotis davidii	David's myotis	1	102773370	102773370	XP_015421908	NA
T07220	51298	mmyo	Myotis myotis	greater mouse-eared bat	1	118668659	118668659	XP_036189733	NA
T07795	59463	mlf	Myotis lucifugus	little brown bat	1	102435067	102435067	XP_023599708	G1NU79
T05883	291302	mna	Miniopterus natalensis	Natal long-fingered bat	1	107537389	107537389	XP_016068883	NA
T07682	59472	pkl	Pipistrellus kuhlii	Kuhl's pipistrelle	1	118708855	118708855	XP_036276256	NA
T04661	186990	hai	Hipposideros armiger	great roundleaf bat	1	109384957	109384957	XP_019502311	A0A8B7RN00
T05907	9430	dro	Desmodus rotundus	common vampire bat	1	112306209	112306209	XP_024417767	NA
T07222	192404	shon	Sturnira hondurensis		1	118995804	118995804	XP_036914783	NA
T07223	9417	ajm	Artibeus jamaicensis	Jamaican fruit-eating bat	1	119051704	119051704	XP_037004526	NA
T07739	89673	pdic	Phyllostomus discolor	pale spear-nosed bat	1	114488194	114488194	XP_028357667	A0A6J2KQE6
T07912	9423	phas	Phyllostomus hastatus	greater spear-nosed bat	1	123814152	123814152	XP_045687731	NA
T07221	27622	mmf	Molossus molossus	Pallas's mastiff bat	1	118641581	118641581	XP_036134774	NA
T07722	59479	rfq	Rhinolophus ferrumequinum	greater horseshoe bat	1	117012389	117012389	XP_032944508	NA
T02993	9402	pale	Pteropus alecto	black flying fox	1	102884206	102884206	XP_006905250	L5KGC3
T07511	143291	pgig	Pteropus giganteus	Indian flying fox	1	120590754	120590754	XP_039704285	NA
T07815	132908	pvp	Pteropus vampyrus	large flying fox	1	105303482	105303482	XP_011375844	A0A6P3R628
T06036	9407	ray	Rousettus aegyptiacus	Egyptian rousette	1	107512248	107512248	XP_016003077	A0A7J8EJB6
T06054	9974	mjv	Manis javanica	Malayan pangolin	1	108386581	108386581	XP_017500008	NA
T07495	50954	tod	Talpa occidentalis	Iberian mole	1	119238855	119238855	XP_037358837	NA
T07854	42254	sara	Sorex araneus	European shrew	1	101559272	101559272	XP_004601395	NA
T04351	9785	lav	Loxodonta africana	African savanna elephant	1	100670699	100670699	XP_010586531	NA
T05135	9778	tmu	Trichechus manatus latirostris	Florida manatee	1	101358375	101358375	XP_004370719	A0A2Y9D9Z5
T07872	9361	dnm	Dasypus novemcinctus	nine-banded armadillo	1	101414555	101414555	XP_004482120	NA
T01031	13616	mdo	Monodelphis domestica	gray short-tailed opossum	1	100030656	100030656	XP_001380112	F7FUJ2
T07702	191870	gas	Gracilinanus agilis	agile gracile opossum	1	123250386	123250386	XP_044535406	NA
T02286	9305	shr	Sarcophilus harrisii	Tasmanian devil	1	100934547	100934547	XP_012407931	G3VJR4
T05867	38626	pcw	Phascolarctos cinereus	koala	1	110208122	110208122	XP_020841624	A0A6P5K9F6
T01045	9258	oaa	Ornithorhynchus anatinus	platypus	1	100077965	100077965	XP_028904117	A0A6I8NUE6
T01006	9031	gga	Gallus gallus	chicken	1	419081	419081	NP_001026008	Q5ZM69
T07365	9054	pcoc	Phasianus colchicus	Ring-necked pheasant	1	116238653	116238653	XP_031464318	NA
T01523	9103	mgp	Meleagris gallopavo	turkey	1	100541290	100541290	XP_010706419	G1N6G8
T04297	93934	cjo	Coturnix japonica	Japanese quail	1	107317227	107317227	XP_015725157	NA
T06015	8996	nmel	Numida meleagris	helmeted guineafowl	1	110403886	110403886	XP_021263348	NA
T02816	8839	apla	Anas platyrhynchos	mallard	1	101799591	101799591	XP_027311860	NA
T04896	8845	acyg	Anser cygnoides domesticus	swan goose	1	106046784	106046784	XP_013053417	NA
T07966	219594	aful	Aythya fuligula	tufted duck	1	116494370	116494370	XP_032052127	A0A6J3DR97
T01082	59729	tgu	Taeniopygia guttata	zebra finch	1	100226906	100226906	XP_030148014	A0A674HAV6
T05897	40157	lsr	Lonchura striata domestica	Bengalese finch	1	110482516	110482516	XP_021407503	NA
T05755	9135	scan	Serinus canaria	common canary	1	103821292	103821292	XP_009094384	NA
T07277	9160	pmoa	Passer montanus	Eurasian tree sparrow	1	120504696	120504696	XP_039570375	NA
