"gene_set","p.geomean","stat.mean","p.val","q.val","set.size","DCIS_1","DCIS_2","DCIS_3","DCIS_4","DCIS_5","DCIS_6"
"hsa04141 Protein processing in endoplasmic reticulum",0.000216459738873733,3.51713082103193,9.23655943261368e-18,1.47784950921819e-15,144,1.90962569771309e-05,4.50086180007322e-06,0.00433823509933392,0.000662556588929206,0.000810398775768786,0.000513788069601493
"hsa00190 Oxidative phosphorylation",0.00149700212520647,2.84881528969854,3.27934953136508e-12,2.62347962509206e-10,97,3.47507026122104e-05,0.000214929141314914,0.266538151036676,0.00604851634548466,0.00192919915466397,0.000484496122386031
"hsa03050 Proteasome",0.00477082956796014,2.63109892176511,2.10853380415163e-10,1.1245513622142e-08,39,0.000894751073107332,0.00350420368537098,0.023745282315997,0.0109516650881009,0.000563478730663245,0.0256647373432158
"hsa04142 Lysosome",0.00371761427128949,2.54161066340292,4.0276383151379e-10,1.61105532605516e-08,108,0.00902833577659257,0.0627806398388261,4.88208538378754e-06,0.0776453319441093,0.000749315199596629,0.0163971079508087
"hsa03060 Protein export",0.0186201403523994,2.11843590247339,4.40470998936989e-07,1.40950719659836e-05,18,0.000944247113319273,0.0136547162440015,0.0519320242225159,0.0462144532602627,0.00956042408728214,0.14087668644999
"hsa04145 Phagosome",0.0145567303675466,1.99667775579023,6.25873830485805e-07,1.66899688129548e-05,132,0.0717623693265543,0.236919401531272,4.05649814065335e-05,0.0666306127884291,0.00336309902290263,0.0615631575746801
"hsa04612 Antigen processing and presentation",0.00987180955644778,1.88054115561029,3.8834415429031e-06,8.87643781234994e-05,63,0.0491710407476077,0.679042094022186,1.4674583672372e-05,0.295744632995164,5.31454757649476e-05,0.120178160746408
"hsa00520 Amino sugar and nucleotide sugar metabolism",0.0456993004045076,1.65679830445818,3.12341499453693e-05,0.000624682998907386,42,0.291838978355911,0.0200521257002992,0.019777530427183,0.0576560287244471,0.0312219460386513,0.0437196664205275
"hsa00510 N-Glycan biosynthesis",0.0484545955485204,1.64126981713069,3.73612847645386e-05,0.000664200618036241,39,0.030835638374384,0.0529631703388679,0.221205379004151,0.0909606296123669,0.0218113916922516,0.01805719971312
"hsa00500 Starch and sucrose metabolism",0.0699337541094565,1.46074384878174,0.000218350800339757,0.00349361280543612,30,0.0461158816306463,0.0481671242881371,0.118973027734784,0.0859413839806348,0.246231714275761,0.0209182318873302
"hsa01040 Biosynthesis of unsaturated fatty acids",0.071873600581194,1.4621832060418,0.000280696107317058,0.0040828524700663,16,0.0481620376311832,0.0133689022909161,0.219253382084166,0.0465723894787082,0.14963780114821,0.140119851770239
"hsa04110 Cell cycle",0.0779506995363323,1.39214116675403,0.000341089881088401,0.00454786508117868,111,0.0769073503667856,0.131409894740137,0.129224954453268,0.0166803013696097,0.0656141317012279,0.156955492611817
"hsa00860 Porphyrin and chlorophyll metabolism",0.104139224414353,1.25674902606192,0.0012249614721172,0.0145012446091468,25,0.0821533366286943,0.0764740975715134,0.0434634655803088,0.139716742879668,0.199033102614471,0.167976430409949
"hsa04966 Collecting duct acid secretion",0.101575413501179,1.25907772290101,0.00126885890330035,0.0145012446091468,22,0.0853896212421245,0.0850395527670848,0.294801220688421,0.0983701039115678,0.171829523134801,0.0303539592397778
"hsa00240 Pyrimidine metabolism",0.0900956406310604,1.22389791546516,0.00144811133323609,0.0154465208878516,78,0.588558195341362,0.0561758851979929,0.102147366567799,0.0231902233458851,0.195426051435646,0.0349436902481424
"hsa04146 Peroxisome",0.0902008283490798,1.18507566395559,0.00198487598588136,0.0198487598588136,69,0.01354530146046,0.177433951803433,0.70249933226915,0.072086937974448,0.0478345967182041,0.0925109506335514
"hsa04620 Toll-like receptor signaling pathway",0.0882354230803554,1.11595235283501,0.00336868679719995,0.0297652977417766,92,0.354462699682399,0.426580502566022,0.0145522954213373,0.422813998305333,0.00296765787166584,0.17091949489771
"hsa04120 Ubiquitin mediated proteolysis",0.0950188905338545,1.10943718380842,0.0034491921142454,0.0297652977417766,112,0.0124060972608613,0.234349984096321,0.55120380527952,0.297614590417576,0.0073506584456681,0.209926348723834
"hsa00790 Folate biosynthesis",0.122244128760764,1.15089648462573,0.00353462910683597,0.0297652977417766,10,0.0707523855316163,0.097061334798582,0.223721301562317,0.257647809751598,0.310490168220538,0.0271518275224365
"hsa00511 Other glycan degradation",0.128724260043022,1.12322799947452,0.00382677321066146,0.0306141856852917,13,0.201272819289995,0.221619663866961,0.0399191331873694,0.29497749649501,0.113559727443494,0.0762736751909278
"hsa04114 Oocyte meiosis",0.10231917054147,1.07553675554793,0.00442175893694515,0.0336895919005345,91,0.0140179090875886,0.436769962898899,0.631500833649893,0.0438652568786887,0.0360919639623164,0.18745668898741
"hsa00020 Citrate cycle (TCA cycle)",0.12375273712202,1.03891742686369,0.00624773468606034,0.0454380704440752,27,0.0257155920891108,0.0865025244955167,0.674691236507482,0.0672381075217144,0.20325055434179,0.175126262904085
"hsa00100 Steroid biosynthesis",0.166550030780324,0.906208150441992,0.0149936963502041,0.104303974610116,17,0.031944212726799,0.435243543952162,0.362414111073414,0.133643239414202,0.150570740479173,0.210499513838361
"hsa04622 RIG-I-like receptor signaling pathway",0.17346515524374,0.878573696200787,0.0161843582385876,0.107895721590584,60,0.104922865460532,0.324922363778501,0.309650925968674,0.169364611295552,0.0420934534961805,0.362004639847437
"hsa00531 Glycosaminoglycan degradation",0.179578532519776,0.870112498298079,0.0185403750227091,0.118658400145338,19,0.294584451482275,0.17415146207688,0.0301160038298493,0.281383793789516,0.24220440148221,0.318501226140874
"hsa00983 Drug metabolism - other enzymes",0.20628457254597,0.810334005500936,0.0245137953183453,0.150854125035971,32,0.276075495775155,0.231107047906157,0.150950940145884,0.223544502442283,0.304303353798755,0.117612340149667
"hsa00604 Glycosphingolipid biosynthesis - ganglio series",0.192969360526736,0.812920310753456,0.0265037266262949,0.157059120748414,13,0.361451795419224,0.356485779721169,0.0609561033198188,0.0679215617448597,0.349326490108135,0.277064682142588
"hsa00512 Mucin type O-Glycan biosynthesis",0.160651132468517,0.776204835680747,0.0317553417306673,0.181459095603813,19,0.21460916544463,0.112147682211395,0.325920925631061,0.031843252230514,0.881868655301849,0.0780423990930736
"hsa03008 Ribosome biogenesis in eukaryotes",0.168349827168434,0.757441569085495,0.0334349736233162,0.18446881999071,55,0.515199587190213,0.00839826004059479,0.372095767523148,0.438957743324924,0.080698947466607,0.399177367772826
"hsa03013 RNA transport",0.136650190501009,0.747081114291049,0.0346929971204204,0.185029317975576,115,0.10698769345134,0.00868732513044332,0.725083003732867,0.735144482214099,0.0307601067752685,0.427261029650785
