"gene_set","p.geomean","stat.mean","p.val","q.val","set.size","DCIS_1","DCIS_2","DCIS_3","DCIS_4","DCIS_5","DCIS_6"
"hsa04141 Protein processing in endoplasmic reticulum",7.80724757385975e-07,4.70175237644873,5.42249431468117e-31,8.67599090348988e-29,144,1.82609365361694e-10,5.21767595180245e-09,0.00052391875585296,1.09477376221454e-06,1.67865879360206e-05,2.46852086003751e-05
"hsa00190 Oxidative phosphorylation",2.66015237393418e-05,3.78253658735178,9.72789099805795e-21,7.78231279844636e-19,97,5.23671058979678e-09,1.92568005270134e-06,0.222497977121516,0.000240254080648965,3.65280718737063e-05,1.79958676171209e-05
"hsa04142 Lysosome",6.25592534493645e-05,3.47253645924158,9.00631604339958e-18,4.80336855647977e-16,108,0.000517536328389342,0.0199629720759889,1.77394736689926e-12,0.0359577615727109,2.6720055020564e-05,0.00340418048911177
"hsa03050 Proteasome",0.000256252773540592,3.38406819236359,5.69870254308813e-17,2.27948101723525e-15,39,8.446852118031e-06,0.000674449038430166,0.00942056064318834,3.41367431994855e-05,1.29240730925626e-05,0.0119582926356754
"hsa04145 Phagosome",0.000174856108572987,3.09400975335826,1.74456548782031e-14,5.58260956102499e-13,132,0.0115712845546056,0.169229403972202,4.57358406087111e-12,0.01204047979647,1.36345667981777e-05,0.0194395251467563
"hsa04612 Antigen processing and presentation",4.06730719578121e-05,2.89653417771321,6.46613601023468e-13,1.72430293606258e-11,63,0.00926454411669686,0.73569579484146,5.28120747018531e-15,0.225823329061272,9.00384605626784e-09,0.0618570817913307
"hsa01040 Biosynthesis of unsaturated fatty acids",0.0017266978172641,2.74278365891493,9.18524997956214e-12,2.0994857096142e-10,16,0.00416393712292175,1.3811478354179e-05,0.0251625097946917,9.38666038818772e-06,0.0282051643884811,0.0691767273940073
"hsa03060 Protein export",0.00275448030717848,2.61690654692721,7.27189082196287e-11,1.45437816439257e-09,18,2.41147731231895e-06,0.00398424100514063,0.0179350306214859,0.0109972635174688,0.00207082578245613,0.111295840034699
"hsa00520 Amino sugar and nucleotide sugar metabolism",0.00540857874289696,2.45241210318247,9.4401583830125e-10,1.67825037920222e-08,42,0.21822848395077,0.00246315641687429,0.000555490892139059,0.00526651952052465,0.00408816420936419,0.00389373635242837
"hsa00500 Starch and sucrose metabolism",0.0117039372186329,2.09955044724587,1.3531720290292e-07,2.02064692889619e-06,30,0.00810231935775365,0.0148459310370124,0.0705176887785568,0.0464436596680737,0.186791774845082,3.49295389025298e-05
"hsa00510 N-Glycan biosynthesis",0.0153572377874472,2.0975352166195,1.38919476361613e-07,2.02064692889619e-06,39,0.00624913226342137,0.0231574295245414,0.183108873012702,0.0248952825816163,0.00512481987020904,0.00388028415348726
"hsa04110 Cell cycle",0.0228673066968956,1.91735399474922,1.32303402436756e-06,1.76404536582342e-05,111,0.0283941640121383,0.0587893957403957,0.068463148482926,0.000555989911824519,0.0225235457183332,0.0999082789826017
"hsa00860 Porphyrin and chlorophyll metabolism",0.0358154618087521,1.75363741563256,8.71433941105594e-06,0.000107253408136073,25,0.028453919549125,0.0437262276732524,0.0046624199951513,0.0704570457740201,0.164739218242879,0.0313477517213147
"hsa04620 Toll-like receptor signaling pathway",0.0113604869076516,1.70660560501756,1.45554108956405e-05,0.000166347553093034,92,0.290649433352103,0.403119505730649,0.0011508236212589,0.398229716385496,3.26356147593869e-07,0.122671633912929
"hsa00790 Folate biosynthesis",0.0311476229353645,1.67364103566604,2.06962317794268e-05,0.00022075980564722,10,0.0102764352794482,0.0227027654964685,0.146998352020496,0.231331384959133,0.273481300686962,0.00042087539438827
"hsa00240 Pyrimidine metabolism",0.0334790333657841,1.62343052930009,3.49572675385553e-05,0.000349572675385553,78,0.607615233992771,0.02097802899538,0.0460820743088983,0.00145751350595896,0.155078036143095,0.0106059414587213
"hsa04146 Peroxisome",0.0343536669621432,1.55483186056714,6.9893541124487e-05,0.000657821563524583,69,0.000924597092808689,0.132770016622606,0.755846009660422,0.0254376843738877,0.0137056497324917,0.0508130830088149
"hsa04966 Collecting duct acid secretion",0.0560351716376628,1.5381455782556,8.23885636033761e-05,0.000732342787585565,22,0.0351779687533199,0.0353238149418977,0.242370896125221,0.0583283646964757,0.125601620219108,0.0140304102037328
"hsa04114 Oocyte meiosis",0.0350795212463503,1.48542980573151,0.00013709132324311,0.00115445324836304,91,0.00141456532608281,0.40845249005815,0.680603001978577,0.00487038495100278,0.00813658304729415,0.119579898013051
"hsa04120 Ubiquitin mediated proteolysis",0.0373283430390844,1.46324481496894,0.000169054418383313,0.00131476201668646,112,0.00144743129822843,0.184558527612174,0.560875101914396,0.225982421623984,0.000524795424291951,0.15225422035693
"hsa00511 Other glycan degradation",0.0624609682212887,1.46105458163405,0.000172562514690098,0.00131476201668646,13,0.103039423114537,0.193508201549273,0.00650506732662186,0.207970124636956,0.0660040363573273,0.0333523342309542
"hsa00020 Citrate cycle (TCA cycle)",0.0484250015123227,1.39907325052288,0.000305127031631314,0.00221910568459137,27,0.00126592356330898,0.0638083955311668,0.699508206538804,0.00958787527369932,0.177249007523605,0.134286868937334
"hsa00100 Steroid biosynthesis",0.0666757633867062,1.33619028540625,0.000532091757000947,0.00370150787478919,17,0.00267255500970632,0.407465996447213,0.289780058274757,0.0241304507296504,0.0816920070316541,0.141246098147044
"hsa00983 Drug metabolism - other enzymes",0.0877377329897451,1.30148558561967,0.000716363148480518,0.00477575432320345,32,0.0970640216398719,0.183771699629735,0.0913734354490977,0.145920307186876,0.176997233577047,0.0108362588664031
"hsa04622 RIG-I-like receptor signaling pathway",0.0829771741968799,1.23872025832308,0.00120574226203132,0.00771675047700046,60,0.0209954549155925,0.303031170124882,0.276637184860741,0.0776320519288991,0.00703309938335329,0.339657240180368
"hsa00512 Mucin type O-Glycan biosynthesis",0.0626294469721511,1.18869693977878,0.0017973329601208,0.0110605105238203,19,0.116053248785862,0.0256434969509511,0.270249901920097,0.0120605561037634,0.910701054736423,0.00683169063839295
"hsa00604 Glycosphingolipid biosynthesis - ganglio series",0.0919773663687,1.13309129482613,0.0027558830679099,0.0163311589209476,13,0.328265980971612,0.32718249496059,0.00505567409086404,0.0138622545370649,0.332965501602569,0.241578179873843
"hsa00531 Glycosaminoglycan degradation",0.129736557847212,1.03484889181472,0.00562474621799407,0.0315129908700216,19,0.232618437408017,0.135601332487521,0.0102437062680628,0.23811447810906,0.217484071932533,0.284967780737865
"hsa04621 NOD-like receptor signaling pathway",0.0658075614867122,1.03265223907544,0.00571172959519142,0.0315129908700216,50,0.27120174545971,0.437024412105824,0.0657829784154897,0.587358602911949,4.26217522412498e-05,0.416110279368153
"hsa00051 Fructose and mannose metabolism",0.128693058092899,0.973386619177236,0.00855581067038911,0.0456309902420752,31,0.513081942650706,0.038399902302513,0.0453695755932538,0.508012478753976,0.244440383032685,0.0409262378153144
"hsa03030 DNA replication",0.104782713034859,0.931545442015918,0.0112502503849828,0.0580658084386207,33,0.313353091777491,0.860102451680933,0.27703619856811,0.00289780466384865,0.0701959148555443,0.0871437409237562
"hsa03008 Ribosome biogenesis in eukaryotes",0.112937997841592,0.912820689855367,0.0126776897836601,0.0633884489183004,55,0.519220422120271,0.00156857897041247,0.355262681340517,0.423396042563719,0.0446974316656703,0.378968749765119
"hsa04623 Cytosolic DNA-sensing pathway",0.107366994161533,0.897244590225014,0.0139819865585893,0.0669353501073543,42,0.31074550919659,0.441409448543157,0.0411717482161675,0.599646908431677,0.00105998457790267,0.426760120247639
"hsa03430 Mismatch repair",0.127841674290585,0.890842755457539,0.0145507005955512,0.0669353501073543,21,0.0267349218972835,0.694070689764792,0.591562068454256,0.218574360612209,0.0184021352204847,0.0988745047481209
"hsa00600 Sphingolipid metabolism",0.143042332949207,0.889833982709867,0.0146421078359838,0.0669353501073543,28,0.0366307140528337,0.240921827861378,0.429859106518238,0.023004231788968,0.634655722961216,0.154665662654571
"hsa03013 RNA transport",0.0895795935835422,0.882901913662705,0.0152837013897678,0.067184562796855,115,0.0568941092031807,0.0024640253125407,0.745250481484485,0.793352271088117,0.0149733718995249,0.416345728584593
"hsa00030 Pentose phosphate pathway",0.145693312962925,0.87711856313268,0.0158373089736036,0.067184562796855,24,0.708551499172309,0.128484662500974,0.136945446488513,0.0209635547798909,0.428455179787521,0.0854077110686591
